Name,Adresse,Latitude,Longitude,Webadresse,Beschreibung,Öffnungszeiten,"Typ (Lebensmittel, Laden, Werkstatt...)"
Dynamo,Wasserwerkstrasse 21,47.382967,8.539748,www.dynamo.ch/werkbereich,"Diverse Werkstätten: Veschiedenste Maschinen,
die man je nach dem mit oder ohne Kurs benutzen 
kann. Darunter ein gut gewarterter Lasercutter","Mittwoch – Freitag: 14.00 – 21.00 Uhr
Samstag: 14.00 – 19.00 Uhr",Werkstatt
revamp-it,"Röschibachstr. 24 - 26
CH 8037 Zürich
Tel:  +41 (0)43 960 32 64",47.392977,8.524866,https://www.revamp-it.ch/,"Laden, der alte, wieder zum Laufen gebrachte 
Computerhardware verkauft.","Mo-Mi, Fr 13.00 - 17.00",Laden
